Realm,Kingdom,Phylum,Class,Order,Family,Genus,Species
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Chiyouviridae,Wargodvirus,Wargodvirus xiongnu
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Alphalipothrixvirus,Alphalipothrixvirus beppuense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Alphalipothrixvirus,Alphalipothrixvirus umijigokuense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus acidiani
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus hveragerdiense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus pezzuloense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus pozzuoliense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus puteoliense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus uzonense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Deltalipothrixvirus,Deltalipothrixvirus beppuense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Deltalipothrixvirus,Deltalipothrixvirus pozzuoliense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Azorudivirus,Azorudivirus furnasense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Hoswirudivirus,Hoswirudivirus acidiani
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Hoswirudivirus,Hoswirudivirus metallosphaerae
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Hoswirudivirus,Hoswirudivirus pozzuoliense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Hoswirudivirus,Hoswirudivirus saccharolobi
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Icerudivirus,Icerudivirus gunnuhverense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Icerudivirus,Icerudivirus hveragerdiense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Icerudivirus,Icerudivirus kverkfjoellense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Itarudivirus,Itarudivirus pozzuoliense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Japarudivirus,Japarudivirus beppuense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Mexirudivirus,Mexirudivirus azufresense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus acidum
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus aestus
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus caloris
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus dryadis
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus nymphense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus yellowstonense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Ungulaviridae,Captovirus,Captovirus yellowstonense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Maximonvirales,Ahmunviridae,Yumkaaxvirus,Yumkaaxvirus juandefucaense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Maximonvirales,Ahmunviridae,Yumkaaxvirus,Yumkaaxvirus pescaderoense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Primavirales,Tristromaviridae,Alphatristromavirus,Alphatristromavirus pozzuoliense
Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Primavirales,Tristromaviridae,Alphatristromavirus,Alphatristromavirus puteoliense
